MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360,dtm2000_rho,nrlmsise00_rho
60069.091458333336,-201.92730122804642,-97.5436859447509,-91.24208783639801,4.722825478509047e-12,2.2814240691865824e-12,2.1340376191104606e-12,6.905048655194947e-13,1.919315393902494e-12,"(1.1347335876769704e-12, Timestamp('2023-05-05 02:11:42'))","(1.3716935661635872e-12, Timestamp('2023-05-05 02:11:42'))"
60069.09180555555,-196.0432660356164,-99.13263133050253,-91.10279919010483,4.584597126996188e-12,2.3182799694166768e-12,2.1304972105105853e-12,6.924132276909832e-13,1.924826130653618e-12,"(1.1420564574663732e-12, Timestamp('2023-05-05 02:12:12'))","(1.3661578061832662e-12, Timestamp('2023-05-05 02:12:12'))"
60069.092152777775,-191.000581510365,-100.36858175210655,-90.85254328784843,4.466098895776067e-12,2.346882970664503e-12,2.124372816290552e-12,6.943217986554132e-13,1.929279783763634e-12,"(1.1502779736010385e-12, Timestamp('2023-05-05 02:12:42'))","(1.3578260367915887e-12, Timestamp('2023-05-05 02:12:42'))"
60069.0925,-186.58688242733479,-101.29131260234863,-90.51041245572269,4.362358711636938e-12,2.368167762897691e-12,2.1161127788489743e-12,6.962025067688243e-13,1.932865161520023e-12,"(1.159131410445793e-12, Timestamp('2023-05-05 02:13:12'))","(1.3468846190122016e-12, Timestamp('2023-05-05 02:13:12'))"
60069.09284722222,-182.6643515303731,-101.92645043743154,-90.0990599921387,4.270149526465011e-12,2.3827374111214394e-12,2.106248182182392e-12,6.980265430279917e-13,1.9356415521315016e-12,"(1.1683073080429727e-12, Timestamp('2023-05-05 02:13:42'))","(1.333595075205507e-12, Timestamp('2023-05-05 02:13:42'))"
60069.093194444446,-179.03806176409125,-102.27996194058409,-89.63687950029141,4.184911232308261e-12,2.390735005438157e-12,2.095210259503982e-12,6.997645544774781e-13,1.937585393434205e-12,"(1.1774621486538723e-12, Timestamp('2023-05-05 02:14:12'))","(1.3182844273473557e-12, Timestamp('2023-05-05 02:14:12'))"
60069.09354166667,-175.5694129653275,-102.35762835480273,-89.13613965585827,4.103402353432279e-12,2.392299011478674e-12,2.0832868269141495e-12,7.013867642689566e-13,1.938645253306505e-12,"(1.1862294394210387e-12, Timestamp('2023-05-05 02:14:42'))","(1.3013323360203556e-12, Timestamp('2023-05-05 02:14:42'))"
60069.09388888889,-172.0977204106748,-102.18575645896296,-88.61299880072474,4.021866681843669e-12,2.3880472575731028e-12,2.0708564099770715e-12,7.028631845621585e-13,1.938794733511425e-12,"(1.1942332059823528e-12, Timestamp('2023-05-05 02:15:12'))","(1.2831561358325813e-12, Timestamp('2023-05-05 02:15:12'))"
60069.09423611111,-167.90356926247478,-101.77765196251373,-88.09029688067321,3.92349323352591e-12,2.378293270078349e-12,2.0584534639065224e-12,7.041637179522382e-13,1.938054454316663e-12,"(1.20110308956098e-12, Timestamp('2023-05-05 02:15:42'))","(1.2641943711734857e-12, Timestamp('2023-05-05 02:15:42'))"
60069.09458333333,-161.96601401269436,-101.10400766953826,-87.58542899267955,3.7844306121533025e-12,2.36235425047871e-12,2.046484755946992e-12,7.052584324449451e-13,1.9364350641154314e-12,"(1.2064906916446965e-12, Timestamp('2023-05-05 02:16:12'))","(1.2448903019558606e-12, Timestamp('2023-05-05 02:16:12'))"
60069.094930555555,-153.4005946740508,-100.11551280282438,-87.10783563032746,3.5840229736446444e-12,2.339080227595978e-12,2.035171276531995e-12,7.061178058677766e-13,1.933817291621622e-12,"(1.2100858523168771e-12, Timestamp('2023-05-05 02:16:42'))","(1.22567596387885e-12, Timestamp('2023-05-05 02:16:42'))"
60069.09527777778,-141.851398460567,-98.77920715902,-86.66984641624407,3.3139656396820776e-12,2.3077030046413666e-12,2.0248012789228842e-12,7.067129190820196e-13,1.929932534260431e-12,"(1.211631660282556e-12, Timestamp('2023-05-05 02:17:12'))","(1.2069575545133258e-12, Timestamp('2023-05-05 02:17:12'))"
60069.095625,-127.45512674376369,-97.09291576066364,-86.28090727070554,2.9774605714464927e-12,2.2681734021208902e-12,2.015595653391217e-12,7.070157274926105e-13,1.9244882379690766e-12,"(1.210937201114788e-12, Timestamp('2023-05-05 02:17:42'))","(1.1891029441590371e-12, Timestamp('2023-05-05 02:17:42'))"
60069.095972222225,-110.22695084661245,-95.07024895244588,-85.92869779264761,2.574866192654576e-12,2.2208105011954085e-12,2.007266800231188e-12,7.069993067169004e-13,1.9172928248617783e-12,"(1.2078868114515072e-12, Timestamp('2023-05-05 02:18:12'))","(1.1724315096732512e-12, Timestamp('2023-05-05 02:18:12'))"
60069.09631944444,-90.31803214550018,-92.7276197557648,-85.58252095617354,2.1097134305902044e-12,2.1659983077382093e-12,1.999097960794117e-12,7.066380575332557e-13,1.9082877170035615e-12,"(1.2024450014228207e-12, Timestamp('2023-05-05 02:18:42'))","(1.1572064148920686e-12, Timestamp('2023-05-05 02:18:42'))"
60069.096666666665,-67.75225446373224,-90.0731601504609,-85.20837693870482,1.5825554712009867e-12,2.1039266299364147e-12,1.9902951449193005e-12,7.059080058755973e-13,1.897460050854746e-12,"(1.1946568206470972e-12, Timestamp('2023-05-05 02:19:12'))","(1.1436294909318156e-12, Timestamp('2023-05-05 02:19:12'))"
60069.09701388889,-43.03651820123196,-87.1088547186926,-84.78037192008148,1.0052236717549217e-12,2.0346414264568366e-12,1.9802539869922045e-12,7.047870188757747e-13,1.8848089298812757e-12,"(1.1846433947534771e-12, Timestamp('2023-05-05 02:19:42'))","(1.1318382479725486e-12, Timestamp('2023-05-05 02:19:42'))"
60069.09736111111,-18.795451678335667,-83.8647181155781,-84.29496467378405,4.3900862421964347e-13,1.958842764227112e-12,1.9688921076973168e-12,7.032550896908363e-13,1.8704347985231983e-12,"(1.1725933212473385e-12, Timestamp('2023-05-05 02:20:12'))","(1.1219049711575994e-12, Timestamp('2023-05-05 02:20:12'))"
60069.097708333335,1.9550843611359596,-80.4115082140391,-83.77546693871005,-4.566515703398316e-14,1.8781819459698318e-12,1.95675436282896e-12,7.012944361137051e-13,1.854579067071851e-12,"(1.158750350706574e-12, Timestamp('2023-05-05 02:20:42'))","(1.1138372050538536e-12, Timestamp('2023-05-05 02:20:42'))"
60069.09805555556,18.423663169145584,-76.83234974940618,-83.2570090841088,-4.303275816351176e-13,1.7945985527121873e-12,1.9446614413434866e-12,6.988895215488291e-13,1.8375543924351414e-12,"(1.1433986564488537e-12, Timestamp('2023-05-05 02:21:12'))","(1.1075795293337825e-12, Timestamp('2023-05-05 02:21:12'))"
60069.09840277778,30.90296660363674,-73.20825766840329,-82.77281923267162,-7.218247282120991e-13,1.709982454828714e-12,1.9333893898374522e-12,6.960272643552393e-13,1.8197204299779395e-12,"(1.1268473038678366e-12, Timestamp('2023-05-05 02:21:42'))","(1.103016748057627e-12, Timestamp('2023-05-05 02:21:42'))"
60069.09875,38.34109641611576,-69.64693660015861,-82.35439080577343,-8.955899363016974e-13,1.6268469434569048e-12,1.9236738254805425e-12,6.926971547756954e-13,1.801551602468474e-12,"(1.1094147121211425e-12, Timestamp('2023-05-05 02:22:12'))","(1.0999779389416867e-12, Timestamp('2023-05-05 02:22:12'))"
60069.09909722222,40.04549917206168,-66.27961499597878,-82.02832195922318,-9.354406060423117e-13,1.5482549725174888e-12,1.9161360150981267e-12,6.88891326228206e-13,1.783560248495496e-12,"(1.0914142291098215e-12, Timestamp('2023-05-05 02:22:42'))","(1.09824133974376e-12, Timestamp('2023-05-05 02:22:42'))"
60069.099444444444,37.565676271915436,-63.22028028406203,-81.80434967312547,-8.775590015019423e-13,1.476867490396588e-12,1.911003621977476e-12,6.846044878978232e-13,1.7660818173186665e-12,"(1.0731414933915798e-12, Timestamp('2023-05-05 02:23:12'))","(1.0975399163100068e-12, Timestamp('2023-05-05 02:23:12'))"
60069.09979166667,32.92184308171272,-60.55523916545014,-81.67488363167892,-7.691244178435851e-13,1.4146994430083079e-12,1.9080993481969288e-12,6.798340987819819e-13,1.7492277123190703e-12,"(1.0548646739925886e-12, Timestamp('2023-05-05 02:23:42'))","(1.0975682005208949e-12, Timestamp('2023-05-05 02:23:42'))"
60069.10013888889,27.307030752301216,-58.34043805766851,-81.62603804663651,-6.379975013360806e-13,1.363057523363583e-12,1.9070989002833748e-12,6.745802802964384e-13,1.7330169536004501e-12,"(1.0368170549919877e-12, Timestamp('2023-05-05 02:24:12'))","(1.0979897071298093e-12, Timestamp('2023-05-05 02:24:12'))"
60069.100486111114,20.912228997796774,-56.59719374297808,-81.64541826777987,-4.886315651833312e-13,1.3224403465804268e-12,1.907712875678444e-12,6.688457981662672e-13,1.7175034837807683e-12,"(1.0191924291075824e-12, Timestamp('2023-05-05 02:24:42'))","(1.0984454609046334e-12, Timestamp('2023-05-05 02:24:42'))"
60069.10083333333,14.040771208703518,-55.313316766421,-81.72035713795987,-3.2810546626615566e-13,1.2925644409848564e-12,1.9096455232862456e-12,6.626358746569891e-13,1.702755553631335e-12,"(1.0021427286750275e-12, Timestamp('2023-05-05 02:25:12'))","(1.0985633035464723e-12, Timestamp('2023-05-05 02:25:12'))"
60069.10118055555,7.783986486494541,-54.44581200350076,-81.83460057924191,-1.8191579272699434e-13,1.2724268045000403e-12,1.9125169683553743e-12,6.559578885292248e-13,1.6887863589467748e-12,"(9.857776092165279e-13, Timestamp('2023-05-05 02:25:42'))","(1.0979680047517484e-12, Timestamp('2023-05-05 02:25:42'))"
60069.10152777778,3.0897200256586075,-53.9460767219464,-81.9697817184031,-7.221671582947678e-14,1.2608936927589486e-12,1.9158980049334187e-12,6.488211253334402e-13,1.6755750766748321e-12,"(9.701658510079124e-13, Timestamp('2023-05-05 02:26:12'))","(1.0962923658367995e-12, Timestamp('2023-05-05 02:26:12'))"
60069.101875,0.34180136397480965,-53.78382367901504,-82.10556990208312,-7.990004366514524e-15,1.2572594241456807e-12,1.919313177700355e-12,6.412362986448437e-13,1.6631313537956279e-12,"(9.553377858379637e-13, Timestamp('2023-05-05 02:26:42'))","(1.0931887284941474e-12, Timestamp('2023-05-05 02:26:42'))"
60069.102222222224,-0.47258277609944344,-53.930934737001856,-82.22281948799888,1.1048669315451828e-14,1.2608691935420059e-12,1.922314541814419e-12,6.332148164509314e-13,1.6515397473839901e-12,"(9.412884851291088e-13, Timestamp('2023-05-05 02:27:12'))","(1.088340700294128e-12, Timestamp('2023-05-05 02:27:12'))"
60069.10256944445,0.47707899287343025,-54.34213353767991,-82.30783749487665,-1.1155405945586451e-14,1.2706670564363234e-12,1.9245813659255046e-12,6.247676132051331e-13,1.640962377940034e-12,"(9.279815193089688e-13, Timestamp('2023-05-05 02:27:42'))","(1.0814748244099884e-12, Timestamp('2023-05-05 02:27:42'))"
60069.10291666666,3.1570553109049797,-54.95380645059049,-82.34997137588346,-7.383194424836949e-14,1.2851679728514586e-12,1.925863786572742e-12,6.159024773707167e-13,1.6315731046100204e-12,"(9.153528908312213e-13, Timestamp('2023-05-05 02:28:12'))","(1.0723715020274882e-12, Timestamp('2023-05-05 02:28:12'))"
60069.10326388889,7.474138792604208,-55.6873830680425,-82.33845622409135,-1.7482123139827686e-13,1.3025362722640406e-12,1.925908885017279e-12,6.06616642939576e-13,1.6234957521133557e-12,"(9.03315129719483e-13, Timestamp('2023-05-05 02:28:42'))","(1.0608747283281784e-12, Timestamp('2023-05-05 02:28:42'))"
60069.10361111111,12.970801085233688,-56.44293152820319,-82.26371333427313,-3.034411527253464e-13,1.3204356534010636e-12,1.9244914664551387e-12,5.969549405118566e-13,1.6168265102579798e-12,"(8.917616702988142e-13, Timestamp('2023-05-05 02:29:12'))","(1.0469002249503514e-12, Timestamp('2023-05-05 02:29:12'))"
60069.10395833333,19.006116546690464,-57.053190377975504,-82.1206807255952,-4.447124999764128e-13,1.3349527170524364e-12,1.921491596430492e-12,5.870051171664011e-13,1.6116002043971254e-12,"(8.80571209213041e-13, Timestamp('2023-05-05 02:29:42'))","(1.0304410076884307e-12, Timestamp('2023-05-05 02:29:42'))"
60069.10430555556,24.839380405843258,-57.05811420523872,-81.9122509829079,-5.813108411629166e-13,1.3353191513591243e-12,1.916975332815498e-12,5.768401059521225e-13,1.6077048731551844e-12,"(8.696124875895531e-13, Timestamp('2023-05-05 02:30:12'))","(1.0115702764396683e-12, Timestamp('2023-05-05 02:30:12'))"
