MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
52275.190474537034,-389.55114516988397,-38.68122477109234,-161.84845020868298,1.2949643406336143e-11,1.2858595681641117e-12,5.380242728221421e-12,8.591226205724831e-12,5.803379766310947e-12,5.192538265950669e-12
52275.19082175926,-402.4850955083966,-37.74475930767755,-161.79497466275674,1.338224359541867e-11,1.2549770641016183e-12,5.379527807648798e-12,8.397288204153836e-12,5.5921779637380545e-12,5.198974578485733e-12
52275.19116898148,-411.3153652995825,-37.35054402158906,-161.88892540503292,1.367866274413436e-11,1.2421259648521553e-12,5.383761948724891e-12,8.207100866961623e-12,5.390717372250628e-12,5.205591988292663e-12
52275.191516203704,-416.92974308505654,-37.53890121945491,-162.20706150639387,1.3868348030642773e-11,1.2486577305498556e-12,5.395498928316145e-12,8.020805148499827e-12,5.19963562882227e-12,5.21513787411913e-12
52275.19186342593,-421.2259940803051,-38.38060818817466,-162.91143611268038,1.4014369475332956e-11,1.2769392948112418e-12,5.420133347717706e-12,7.838392175082824e-12,5.0193813019078774e-12,5.228444875103954e-12
52275.19221064815,-424.98447657749057,-39.944614120883244,-164.05541497684186,1.4142664945480579e-11,1.329279832613268e-12,5.459448272544597e-12,7.659606252544136e-12,4.850234707626615e-12,5.245863003092058e-12
52275.192557870374,-427.0668198093772,-42.2436167443792,-164.9064169443523,1.4215327116703836e-11,1.4061191428593217e-12,5.489067639471176e-12,7.483725511873111e-12,4.692327454713043e-12,5.267534390960126e-12
52275.19290509259,-425.7192726172507,-45.21700934761514,-165.29735341405288,1.4173922113367249e-11,1.5054577274651804e-12,5.5034196559453285e-12,7.309007934276642e-12,4.545660147809068e-12,5.293177219717691e-12
52275.19325231481,-418.9795129597187,-48.772589952560764,-165.51491552318137,1.3953009249234858e-11,1.6242426602434998e-12,5.512038359267719e-12,7.1310978543962785e-12,4.410118924150867e-12,5.32193273273368e-12
52275.19359953704,-399.86021250113845,-52.72309653609991,-165.68232622479812,1.3319692180612968e-11,1.7562522969638877e-12,5.519022688650043e-12,6.93776189492697e-12,4.2854919879783686e-12,5.3520361657359694e-12
52275.19394675926,-344.30458657443523,-56.48115541599691,-165.68563830571043,1.1472077856297721e-11,1.8819273329833684e-12,5.520572819620481e-12,6.691628445184424e-12,4.171504088027959e-12,5.379506100556077e-12
52275.19429398148,-233.82862585037947,-59.162679041549566,-165.25781919426387,7.793140048085426e-12,1.9717989690695346e-12,5.50778299422653e-12,6.336915379998714e-12,4.067827021915809e-12,5.3988570333204125e-12
52275.19464120371,-219.04502353817225,-62.411637034950154,-164.96468381625084,7.302403718176788e-12,2.0806451704760928e-12,5.499502800882943e-12,6.0803519019241565e-12,3.973771219090688e-12,5.418727505843664e-12
52275.19498842592,-268.1177165172994,-67.32410898388675,-165.18654956084987,8.94082533914366e-12,2.2450329182166006e-12,5.508416628276275e-12,6.035507780828269e-12,3.888766113431784e-12,5.444865276996639e-12
52275.195335648146,-296.0928428173065,-73.53191697268436,-165.80336343819897,9.876464890105628e-12,2.4527286420461594e-12,5.530532525128234e-12,5.984577052997502e-12,3.8123539597954884e-12,5.475172095965638e-12
52275.19568287037,-303.37084659188986,-80.62388986547788,-166.6822427359099,1.0122102753260627e-11,2.690051818603956e-12,5.561426903971707e-12,5.855584969849696e-12,3.743895212172593e-12,5.507604100280986e-12
52275.19603009259,-296.1027489453554,-88.27632013186812,-167.72252141057203,9.882440830972021e-12,2.9462256381825294e-12,5.597745714165263e-12,5.740475959918546e-12,3.682699717570921e-12,5.5407118927029115e-12
52275.196377314816,-280.41947570443153,-96.28543059751391,-168.85659070596512,9.36173434469881e-12,3.214465116071161e-12,5.637235219022278e-12,5.634523599284754e-12,3.628051496612321e-12,5.573697197652558e-12
52275.19672453704,-262.19468265399337,-104.56376303049426,-170.04997035815484,8.755879743847349e-12,3.491862326847286e-12,5.67874632631545e-12,5.5356631547495686e-12,3.5792208721363693e-12,5.606363317181777e-12
52275.197071759256,-244.03071623668075,-113.07779183095941,-171.28040412538166,8.151725514258915e-12,3.777307770840102e-12,5.721537279951569e-12,5.442840297690419e-12,3.5354738145799257e-12,5.638746179558982e-12
52275.19741898148,-226.89853394031525,-121.7812694237257,-172.5299792519874,7.581709982202007e-12,4.069265014634102e-12,5.7650097742278985e-12,5.355431529427776e-12,3.496082837126248e-12,5.67097812240081e-12
52275.1977662037,-211.0682070888579,-130.57123934533448,-173.78687972196687,7.054885186574704e-12,4.3643005972107294e-12,5.808769119147295e-12,5.273015500511689e-12,3.4603387077572903e-12,5.703261700766712e-12
52275.198113425926,-195.5784336142242,-139.3035067765042,-175.0414676144926,6.539143597557834e-12,4.657597556240379e-12,5.852492379176051e-12,5.195272451902924e-12,3.4275616601255225e-12,5.735741788610718e-12
52275.19846064815,-180.23904067650437,-147.82679291150222,-176.29222890881616,6.0281300486445496e-12,4.9440960681985386e-12,5.8961281553596905e-12,5.121936921503019e-12,3.3971126879399213e-12,5.768458952416728e-12
52275.19880787037,-166.7368025444448,-156.00888887532057,-177.55336121840196,5.578276876719452e-12,5.219368274403136e-12,5.9401511493206134e-12,5.0527733936519975e-12,3.36840375943645e-12,5.801400541218137e-12
52275.199155092596,-156.77677793055773,-163.78518562310686,-178.84979092770567,5.246699468533377e-12,5.481243189874876e-12,5.985396022256169e-12,4.9875626557423384e-12,3.3409066329084555e-12,5.8344657760463135e-12
52275.19950231481,-150.26372236385942,-171.16138522544256,-180.2007170608681,5.030317930611627e-12,5.7299005480710075e-12,6.032506608250879e-12,4.9260937521781255e-12,3.314160304745311e-12,5.867458067660012e-12
52275.199849537035,-145.75103210657835,-178.15682086038092,-181.60851563442912,4.88079603242142e-12,5.9659756218283035e-12,6.081563264089287e-12,4.868160117741053e-12,3.2877777793351953e-12,5.9002116074713155e-12
52275.20019675926,-141.88286110386252,-184.76772786807268,-183.05887400870108,4.752778069068229e-12,6.189331100675387e-12,6.1320880828586085e-12,4.8135575545528434e-12,3.2614512576470007e-12,5.932492100650425e-12
52275.20054398148,-138.46026580780745,-190.9505932971835,-184.52588391246067,4.639617026874811e-12,6.398497206290239e-12,6.183213847702308e-12,4.7620832038275405e-12,3.234955465865978e-12,5.963831922984767e-12
52275.200891203705,-135.91659943014383,-196.66656543811163,-185.98237166651006,4.555852234872295e-12,6.592158834406258e-12,6.234030332985229e-12,4.7135342472346145e-12,3.2081483320918395e-12,5.993797434044362e-12
52275.20123842593,-133.94262132793665,-201.98100199835997,-187.40229785262298,4.4911426170128305e-12,6.772493153473825e-12,6.283664139672191e-12,4.667707647185657e-12,3.180970052369082e-12,6.02233045598109e-12
52275.201585648145,-132.29552844166756,-207.02095131246995,-188.7552245070744,4.437362318079694e-12,6.943749189618384e-12,6.331093200460458e-12,4.624399438507898e-12,3.1534394705919445e-12,6.049737573534739e-12
52275.20193287037,-132.42067459598184,-211.83811909308037,-190.01980012887054,4.443016372567949e-12,7.107653199443186e-12,6.375598717198194e-12,4.583405284298859e-12,3.1256491201571197e-12,6.076510848340244e-12
52275.20228009259,-136.56682670488954,-216.42272711731493,-191.20485336759853,4.583639898359587e-12,7.263871255281919e-12,6.41747498863383e-12,4.5445197109585335e-12,3.0977570673994197e-12,6.103165773273074e-12
52275.202627314815,-145.65255000814795,-220.77727496971687,-192.34365291138076,4.8902073922573525e-12,7.41248033102714e-12,6.457836496981334e-12,4.5075358815332e-12,3.0699771036299102e-12,6.130073805312226e-12
52275.20297453704,-157.93670500814915,-224.901360180974,-193.4676810549572,5.304407609137125e-12,7.553459382274016e-12,6.497738695112567e-12,4.472245078832583e-12,3.042566873475923e-12,6.157288930065339e-12
52275.20332175926,-170.90040319785476,-228.80200765710325,-194.59310270986623,5.741722264516193e-12,7.687036173986538e-12,6.537723313952663e-12,4.4384375727405384e-12,3.015815491313406e-12,6.1846282165474915e-12
52275.203668981485,-183.6308020092547,-232.48982326202093,-195.7246949619303,6.1714964633491175e-12,7.813559088817308e-12,6.577950156133179e-12,4.4059028828563345e-12,2.990029490679158e-12,6.211968658875574e-12
52275.2040162037,-196.54053477942944,-235.92219071754565,-196.86589753756093,6.607596392542667e-12,7.931588351764142e-12,6.618534928907749e-12,4.374429904811846e-12,2.9655178892844144e-12,6.239305734707735e-12
52275.204363425924,-210.30129780247808,-239.06265443979453,-198.02853721320216,7.0726191413526096e-12,8.039889070782195e-12,6.659875319189055e-12,4.3438062162322495e-12,2.9425763618912283e-12,6.2666266503248405e-12
52275.20471064815,-225.35478653386235,-241.9628739040345,-199.23022036262685,7.581455465409807e-12,8.140189880148654e-12,6.702564725937486e-12,4.313816960901872e-12,2.9214714049959634e-12,6.2938869663086855e-12
52275.20505787037,-241.51135385781527,-244.71394895066817,-200.47576892518748,8.12776862583965e-12,8.235548038696083e-12,6.74676630677374e-12,4.28424318802137e-12,2.902425182831735e-12,6.320903744776884e-12
52275.205405092594,-258.50823924690485,-247.4152017236377,-201.74723721301805,8.702751803859051e-12,8.329301609013685e-12,6.791876876706531e-12,4.254859086241483e-12,2.8856014475455647e-12,6.347346017947651e-12
52275.20575231482,-276.7970999702811,-250.15819251121331,-203.02182019754417,9.321645220033923e-12,8.424531614402192e-12,6.8371286404742535e-12,4.225426481161476e-12,2.871093201321164e-12,6.3731414799941535e-12
52275.206099537034,-296.46841686964035,-252.96266704071314,-204.29235468070127,9.987542498364173e-12,8.521903999910996e-12,6.882279724796326e-12,4.1956808086525736e-12,2.85891204636347e-12,6.398638116824847e-12
52275.20644675926,-316.52561612054706,-255.82713655947398,-205.56560154526184,1.066690657204779e-11,8.621369093979237e-12,6.927556426507403e-12,4.1652813445680634e-12,2.8489799275223073e-12,6.424178321609504e-12
52275.20679398148,-336.00497989729047,-258.7972706329077,-206.85009347641218,1.1327262602384196e-11,8.724467852039941e-12,6.973245839544574e-12,4.134117123593261e-12,2.8411243785288208e-12,6.449820702261526e-12
52275.207141203704,-354.3306976892054,-261.860531237411,-208.1456540847404,1.1949171045410186e-11,8.830779546350115e-12,7.019341082321119e-12,4.102451962986042e-12,2.8350764579919186e-12,6.475421248473428e-12
52275.20748842593,-371.23088289797306,-264.91817853972316,-209.4404807427691,1.2523417922428756e-11,8.936974852960609e-12,7.065443073433507e-12,4.07046657324286e-12,2.8304728070277424e-12,6.5007644448915e-12
52275.20783564815,-386.6966210491955,-267.9072583620126,-210.71666917600152,1.304965036144638e-11,9.040927333247046e-12,7.110946174328114e-12,4.038302566772425e-12,2.826861501366447e-12,6.525703458063521e-12
52275.208182870374,-400.44218426570296,-270.81133638626585,-211.95133475433622,1.3518169591922879e-11,9.142077724398137e-12,7.15507556652026e-12,4.00608216794512e-12,2.823711826704394e-12,6.5502419925220014e-12
52275.20853009259,-411.4533923715353,-273.6021595239639,-213.1137337099761,1.3894663158090053e-11,9.239466526207933e-12,7.19678971947607e-12,3.973916568478799e-12,2.820428599519554e-12,6.5744361968547926e-12
