MJD,UTC,EDR,rho_eff,jb08_rho
60069.950833333336,2023-05-05 22:49:12,-187.41192393004897,4.959041683767898e-14,6.187498076959458e-13
60069.95118055555,2023-05-05 22:49:42,-198.52122515439987,5.253001036480443e-14,6.156141308969254e-13
60069.951527777775,2023-05-05 22:50:12,-208.5315550453961,5.517880891276911e-14,6.120430253511599e-13
60069.951875,2023-05-05 22:50:42,-219.91959631070495,5.819215887187919e-14,6.080322568670829e-13
60069.95222222222,2023-05-05 22:51:12,-234.15251616761088,6.195828225250617e-14,6.035801091643888e-13
60069.952569444446,2023-05-05 22:51:42,-251.30842389538884,6.649784727915205e-14,5.986872850212324e-13
60069.95291666667,2023-05-05 22:52:12,-270.07886869087815,7.146462933931803e-14,5.933568371878273e-13
60069.95326388889,2023-05-05 22:52:42,-288.4719397649169,7.63315558526336e-14,5.875940536866344e-13
60069.95361111111,2023-05-05 22:53:12,-305.6578354537487,8.087905588927023e-14,5.814063798698437e-13
60069.95395833333,2023-05-05 22:53:42,-321.7632071785629,8.514064224093379e-14,5.748031110084265e-13
60069.954305555555,2023-05-05 22:54:12,-336.4076030552387,8.901564485886434e-14,5.677950011607651e-13
60069.95465277778,2023-05-05 22:54:42,-348.78966203704476,9.22920183859067e-14,5.60393706512116e-13
60069.955,2023-05-05 22:55:12,-358.68875612691045,9.491138321572975e-14,5.526110029857623e-13
60069.955347222225,2023-05-05 22:55:42,-366.438074529171,9.696190338390983e-14,5.444570841513784e-13
60069.95569444444,2023-05-05 22:56:12,-372.382818620652,9.853492142517335e-14,5.359357705850032e-13
60069.956041666665,2023-05-05 22:56:42,-376.80669919773936,9.970550906579624e-14,5.270563596872838e-13
60069.95638888889,2023-05-05 22:57:12,-379.9999004714191,1.0055045093975881e-13,5.178960862502397e-13
