utc,x_TLE,y_TLE,z_TLE
2020-03-01 10:14:59.988,-1766.1948424155353,17242.481146415783,19698.90678222403
2020-03-01 10:19:59.987,-2812.011182429743,16773.684910261385,19964.646972213384
2020-03-01 10:24:59.987,-3852.2372321094936,16271.545440252417,20190.69292616717
2020-03-01 10:29:59.987,-4884.795503508572,15737.01989939763,20376.544340214186
2020-03-01 10:34:59.987,-5907.619268563327,15171.134842176716,20521.782893307995
2020-03-01 10:39:59.987,-6918.657226319596,14574.984245056236,20626.073564799608
2020-03-01 10:44:59.987,-7915.87817003679,13949.727347790038,20689.1657488502
2020-03-01 10:49:59.987,-8897.275639192057,13296.586308676438,20710.894160087842
2020-03-01 10:54:59.987,-9860.872541068327,12616.843679808586,20691.179524234172
2020-03-01 10:59:59.987,-10804.725726525048,11911.839708064788,20630.029049151213
2020-03-01 11:04:59.987,-11726.930504471316,11182.96946884717,20527.53667234819
2020-03-01 11:09:59.987,-12625.62507960223,10431.679840367338,20383.883081962034
2020-03-01 11:14:59.987,-13498.994898086541,9659.466327090428,20199.33550918678
2020-03-01 11:19:59.987,-14345.276886122612,8867.86974172343,19974.24729112187
2020-03-01 11:24:59.987,-15162.763566600339,8058.4727558599025,19709.057204019984
2020-03-01 11:29:59.987,-15949.807039518966,7232.896330070854,19404.28856794093
2020-03-01 11:34:59.987,-16704.822812335038,6392.796034829983,19060.548124840985
2020-03-01 11:39:59.987,-17426.293466914434,5539.858274320554,18678.524693197982
2020-03-01 11:44:59.987,-18112.77215076555,4675.796425284539,18258.987603127887
2020-03-01 11:49:59.987,-18762.88588035213,3802.34690421393,17802.784917254507
2020-03-01 11:54:59.987,-19375.338645916345,2921.2651755992833,17310.841443165962
2020-03-01 11:59:59.987,-19948.914307508425,2034.3217149293605,16784.15654453052
2020-03-01 12:04:59.987,-20482.479273196863,1143.2979399386018,16223.80175867188
2020-03-01 12:09:59.987,-20974.98495136039,249.9821237830149,15630.918229277866
2020-03-01 12:14:59.987,-21425.469970027512,-643.8346961869362,15006.713963685715
2020-03-01 12:19:59.987,-21833.06215732582,-1536.3628004755901,14352.460924895891
2020-03-01 12:24:59.987,-22196.9802782179,-2425.8178468982896,13669.491969106555
2020-03-01 12:29:59.987,-22516.535523836737,-3310.4248942775475,12959.197640128565
2020-03-01 12:34:59.987,-22791.13275087382,-4188.422377536503,12223.02283252998
2020-03-01 12:39:59.987,-23020.27146960988,-5058.06602174207,11462.463335770302
2020-03-01 12:44:59.987,-23203.546580307284,-5917.6326831192255,10679.062271911336
2020-03-01 12:49:59.987,-23340.648858785713,-6765.424105583473,9874.40643973805
2020-03-01 12:54:59.987,-23431.36519308167,-7599.770581926874,9050.122578285514
2020-03-01 12:59:59.987,-23475.578574130126,-8419.034509431758,8207.873562846129
2020-03-01 13:04:59.987,-23473.267844401664,-9221.613830368173,7349.354546532544
2020-03-01 13:09:59.987,-23424.507209372223,-10005.945348554926,6476.289060390215
2020-03-01 13:14:59.987,-23329.46551758733,-10770.507913914575,5590.425084900426
2020-03-01 13:19:59.987,-23188.405315907006,-11513.825467733563,4693.531105484842
2020-03-01 13:24:59.987,-23001.681687272598,-12234.469942130552,3787.39216433055
2020-03-01 13:29:59.987,-22769.740879022476,-12931.064008042049,2873.8059204959677
2020-03-01 13:34:59.987,-22493.118730394857,-13602.28366683865,1954.578729880185
2020-03-01 13:39:59.987,-22172.43890839265,-14246.860681527654,1031.52175590687
2020-03-01 13:44:59.987,-21808.410961644146,-14863.584844169109,106.44712205284019
2020-03-01 13:49:59.987,-21401.82820227704,-15451.306077135434,-818.8358845126969
2020-03-01 13:54:59.987,-20953.56542612933,-16008.936366367629,-1742.524548196645
2020-03-01 13:59:59.987,-20464.576481851276,-16535.4515256653,-2662.8263905675894
